,Estimate,Std. Error,t value,r2,Pval
(Intercept),-0.3151,0.0641,-4.9126,0.0065,9.381e-07
IQ_PS,0.2006,0.058,3.4558,0.0032,5.549e-04
SexM,-0.0695,0.0294,-2.363,0.0015,1.818e-02
ParentMarriedyes,0.1062,0.0355,2.989,0.0024,2.818e-03
Age,0.2338,0.0146,16.0402,0.0656,5.170e-56
Parent.EducHS Diploma/GED,0.0772,0.0683,1.1294,3e-04,2.588e-01
Parent.EducSome College,0.2196,0.063,3.4822,0.0033,5.030e-04
Parent.EducBachelor,0.2352,0.0713,3.3002,0.003,9.755e-04
Parent.EducPost Graduate Degree,0.3783,0.0754,5.0185,0.0068,5.456e-07
Household.Income[>=50K & <100K],0.1059,0.0418,2.5296,0.0017,1.146e-02
Household.Income[>=100K],0.1985,0.0525,3.7789,0.0039,1.600e-04
PC1,0.0097,0.0643,0.1512,0,8.798e-01
PC2,-0.0639,0.025,-2.5511,0.0018,1.078e-02
PC3,0.1186,0.0178,6.6444,0.0119,3.494e-11
PC4,-0.0469,0.0214,-2.19,0.0013,2.859e-02
PC5,-0.0474,0.0149,-3.177,0.0027,1.501e-03
PC6,0.038,0.0171,2.2256,0.0013,2.610e-02
PC7,0.0039,0.0156,0.252,0,8.010e-01
PC8,0.0535,0.0223,2.3968,0.0016,1.659e-02
PC9,-0.0096,0.0152,-0.63,1e-04,5.287e-01
PC10,-0.0112,0.0161,-0.6943,1e-04,4.875e-01
